Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Food Quality and Preference	Elsevier	ScienceDirect	0950-3293		8	0	0	3	2	0	0	0	2	1	0	0	16	6	10
Food Research International	Elsevier	ScienceDirect	0963-9969		1	2	0	8	4	2	0	0	0	0	0	1	18	7	11
Foot and Ankle Surgery	Elsevier	ScienceDirect	1268-7731	1460-9584	0	0	3	2	0	0	0	0	0	0	0	0	5	2	3
Forensic Science	Elsevier	ScienceDirect	0300-9432		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Forensic Science International	Elsevier	ScienceDirect	0379-0738		5	14	21	6	12	5	9	23	9	4	0	4	112	54	58
Forensic Science International: Genetics	Elsevier	ScienceDirect	1872-4973		0	0	0	0	0	0	0	0	0	0	1	1	2	0	2
Forest Ecology and Management	Elsevier	ScienceDirect	0378-1127		0	5	0	0	1	1	0	1	0	1	6	2	17	10	7
Forest Policy and Economics	Elsevier	ScienceDirect	1389-9341		0	0	0	0	0	0	3	0	0	0	5	0	8	5	3
Free Radical Biology and Medicine	Elsevier	ScienceDirect	0891-5849		84	53	59	64	91	42	76	130	57	82	60	41	839	467	372
Frontiers in Neuroendocrinology	Elsevier	ScienceDirect	0091-3022	1095-6808	29	17	9	21	14	15	23	15	24	16	14	8	205	98	107
Frontiers of Architectural Research	Elsevier	ScienceDirect	2095-2635		0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
Fuel	Elsevier	ScienceDirect	0016-2361		0	2	0	2	1	0	0	0	4	0	0	0	9	5	4
Fuel and Energy Abstracts	Elsevier	ScienceDirect	0140-6701		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Fuel Cells Bulletin	Elsevier	ScienceDirect	1464-2859		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fundamental and Applied Toxicology	Elsevier	ScienceDirect	0272-0590		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Fungal Biology Reviews	Elsevier	ScienceDirect	1749-4613		0	0	6	9	0	0	0	0	0	0	0	0	15	13	2
Fungal Genetics and Biology	Elsevier	ScienceDirect	1087-1845	1096-0937	1	0	0	0	0	0	0	0	0	8	1	0	10	5	5
Fusion Engineering and Design	Elsevier	ScienceDirect	0920-3796		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FuÃŸ & Sprunggelenk	Elsevier	ScienceDirect	1619-9987	1619-9995	0	0	0	0	0	0	0	7	0	0	0	0	7	0	7
Future Generation Computer Systems	Elsevier	ScienceDirect	0167-739X		0	0	0	1	0	0	0	0	1	0	3	0	5	3	2
Future Generation Computer Systems	Elsevier	ScienceDirect	0167-739X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Futures	Elsevier	ScienceDirect	0016-3287		1	0	1	1	3	0	2	1	1	0	2	0	12	1	11
Fuzzy Sets and Systems	Elsevier	ScienceDirect	0165-0114		3	3	0	3	3	0	8	1	7	10	14	1	53	1	52
Gait & Posture	Elsevier	ScienceDirect	0966-6362		5	5	1	0	0	0	4	0	2	2	0	0	19	9	10
Games and Economic Behavior	Elsevier	ScienceDirect	0899-8256	1090-2473	0	1	2	3	1	6	0	0	4	4	6	1	28	0	28
Gastroenterology	Elsevier	ScienceDirect	0016-5085	1528-0012	131	115	78	81	83	100	65	90	57	96	95	75	1066	583	483
Gastrointestinal Endoscopy	Elsevier	ScienceDirect	0016-5107	1097-6779	41	5	15	11	6	9	20	34	32	15	14	58	260	122	138
Gene	Elsevier	ScienceDirect	0378-1119		48	37	59	34	76	39	44	47	42	43	25	25	519	308	211
Gene Analysis Techniques	Elsevier	ScienceDirect	0735-0651		0	1	0	1	0	0	1	0	0	0	0	0	3	0	3
Gene Expression Patterns	Elsevier	ScienceDirect	1567-133X		22	7	16	11	11	10	5	2	8	6	10	7	115	74	41
General and Comparative Endocrinology	Elsevier	ScienceDirect	0016-6480	1095-6840	1	2	4	0	4	0	1	2	2	1	1	0	18	10	8
General Hospital Psychiatry	Elsevier	ScienceDirect	0163-8343		5	1	0	0	0	4	1	0	1	3	3	4	22	8	14
General Pharmacology: The Vascular System	Elsevier	ScienceDirect	0306-3623		1	1	5	5	3	0	4	3	2	0	0	0	24	4	20
General Topology and its Applications	Elsevier	ScienceDirect	0016-660X		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
General Topology and its Applications	Elsevier	ScienceDirect	0016-660X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genetic Analysis: Biomolecular Engineering	Elsevier	ScienceDirect	1050-3862		0	1	0	0	0	0	0	2	0	2	0	0	5	1	4
Genomics	Elsevier	ScienceDirect	0888-7543	1089-8646	32	22	23	14	13	19	27	24	24	23	20	14	255	100	155
Genomics Data	Elsevier	ScienceDirect	2213-5960		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Genomics, Proteomics & Bioinformatics	Elsevier	ScienceDirect	1672-0229		1	2	3	3	3	4	1	0	4	6	3	0	30	14	16
Geobios	Elsevier	ScienceDirect	0016-6995	1777-5728	1	1	0	0	0	0	0	0	0	0	0	0	2	0	2
Geochimica et Cosmochimica Acta	Elsevier	ScienceDirect	0016-7037	0046-564X	23	5	14	0	2	4	1	1	2	1	1	2	56	19	37
Geoderma	Elsevier	ScienceDirect	0016-7061		0	0	0	0	4	0	5	2	0	2	2	0	15	6	9
Geodinamica Acta	Elsevier	ScienceDirect	0985-3111		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geoexploration	Elsevier	ScienceDirect	0016-7142		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geoforum	Elsevier	ScienceDirect	0016-7185		1	0	1	2	0	1	1	0	0	2	1	0	9	1	8
Geomorphology	Elsevier	ScienceDirect	0169-555X		0	0	1	1	1	0	0	0	0	5	0	1	9	2	7
Geomorphology	Elsevier	ScienceDirect	0169-555X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geoscience Frontiers	Elsevier	ScienceDirect	1674-9871		0	0	0	0	2	0	0	0	0	0	0	0	2	1	1
Geotextiles and Geomembranes	Elsevier	ScienceDirect	0266-1144		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geothermics	Elsevier	ScienceDirect	0375-6505		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geriatric Mental Health Care	Elsevier	ScienceDirect	2212-9693		0	0	0	0	0	5	0	0	0	0	0	0	5	4	1
Global and Planetary Change	Elsevier	ScienceDirect	0921-8181		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Global Environmental Change	Elsevier	ScienceDirect	0959-3780		0	0	3	6	0	0	0	0	0	0	0	0	9	4	5
Global Environmental Change Part B: Environmental Hazards	Elsevier	ScienceDirect	1464-2867		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Global Finance Journal	Elsevier	ScienceDirect	1044-0283		0	0	0	0	0	1	1	0	0	0	0	0	2	0	2
Global Food Security	Elsevier	ScienceDirect	2211-9124		0	0	0	0	2	4	0	0	0	0	0	0	6	2	4
Government Information Quarterly	Elsevier	ScienceDirect	0740-624X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Government Publications Review	Elsevier	ScienceDirect	0277-9390		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Government Publications Review (1973)	Elsevier	ScienceDirect	0093-061X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Government Publications Review. Part A	Elsevier	ScienceDirect	0196-335X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Government Publications Review. Part B	Elsevier	ScienceDirect	0196-3368		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Graphical Models	Elsevier	ScienceDirect	1524-0703	1524-0711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Graphical Models and Image Processing	Elsevier	ScienceDirect	1077-3169		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Growth Hormone & IGF Research	Elsevier	ScienceDirect	1096-6374		2	0	5	1	6	6	4	0	2	3	11	1	41	27	14
Gynecologic Oncology	Elsevier	ScienceDirect	0090-8258	1095-6859	13	10	0	8	5	6	9	7	10	5	14	17	104	56	48
GynÃ©cologie ObstÃ©trique & FertilitÃ©	Elsevier	ScienceDirect	1297-9589		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Habitat International	Elsevier	ScienceDirect	0197-3975		0	0	0	0	0	0	0	0	0	0	2	1	3	1	2
Harmful Algae	Elsevier	ScienceDirect	1568-9883		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Health & Place	Elsevier	ScienceDirect	1353-8292		0	0	0	0	0	0	3	0	0	2	0	0	5	1	4
Health Policy	Elsevier	ScienceDirect	0168-8510		3	0	2	0	0	2	0	0	0	1	0	0	8	2	6
Health Policy and Education	Elsevier	ScienceDirect	0165-2281		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthcare Management Forum	Elsevier	ScienceDirect	0840-4704		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hearing Research	Elsevier	ScienceDirect	0378-5955		15	3	5	15	10	7	2	22	11	9	9	0	108	53	55
Heart & Lung: The Journal of Acute and Critical Care	Elsevier	ScienceDirect	0147-9563		7	1	8	5	1	3	5	0	0	0	0	0	30	14	16
Heart, Lung and Circulation	Elsevier	ScienceDirect	1443-9506	1444-2892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hematology/Oncology and Stem Cell Therapy	Elsevier	ScienceDirect	1658-3876		0	0	0	0	0	0	0	0	0	0	2	2	4	2	2
Hematology/Oncology Clinics of North America	Elsevier	ScienceDirect	0889-8588		2	0	0	0	0	0	0	0	0	0	0	0	2	1	1
Hepatology	Elsevier	ScienceDirect	0270-9139		2	0	2	6	0	2	0	0	0	1	1	0	14	3	11
Hepatology Research	Elsevier	ScienceDirect	1386-6346		0	2	0	2	0	0	0	0	0	0	0	0	4	2	2
Historia Mathematica	Elsevier	ScienceDirect	0315-0860	1090-249X	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
History of European Ideas	Elsevier	ScienceDirect	0191-6599		0	6	0	0	4	4	0	0	0	0	3	1	18	4	14
Homeopathy	Elsevier	ScienceDirect	1475-4916	1476-4245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOMO - Journal of Comparative Human Biology	Elsevier	ScienceDirect	0018-442X		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Hormones and Behavior	Elsevier	ScienceDirect	0018-506X	1095-6867	87	69	32	33	29	23	72	27	56	55	20	27	530	266	264
Hospital Aviation	Elsevier	ScienceDirect	0740-8315		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Immunology	Elsevier	ScienceDirect	0198-8859		9	7	3	12	9	2	16	13	13	11	4	8	107	64	43
Human Movement Science	Elsevier	ScienceDirect	0167-9457		0	9	0	0	0	0	2	5	0	3	0	0	19	6	13
Human Pathology	Elsevier	ScienceDirect	0046-8177		16	6	26	17	12	9	6	7	12	9	13	12	145	71	74
Human Resource Management Review	Elsevier	ScienceDirect	1053-4822		4	15	5	6	12	39	13	19	14	22	12	13	174	79	95
Hydrometallurgy	Elsevier	ScienceDirect	0304-386X		0	0	2	1	0	0	2	0	2	0	0	0	7	3	4
Hydrometallurgy	Elsevier	ScienceDirect	0304-386X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Icarus	Elsevier	ScienceDirect	0019-1035	1090-2643	0	0	0	0	0	0	1	0	1	2	0	0	4	0	4
IERI Procedia	Elsevier	ScienceDirect	2212-6678		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
III-Vs Review	Elsevier	ScienceDirect	0961-1290		0	0	0	1	1	0	1	0	0	0	0	0	3	1	2
IIMB Management Review	Elsevier	ScienceDirect	0970-3896		0	0	0	1	1	1	0	0	0	1	4	0	8	4	4
IJC Heart & Vessels	Elsevier	ScienceDirect	2214-7632		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJC Metabolic & Endocrine	Elsevier	ScienceDirect	2214-7624		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il Farmaco	Elsevier	ScienceDirect	0014-827X		2	1	2	1	1	2	1	1	0	0	1	2	14	9	5
Il Farmaco	Elsevier	ScienceDirect	0014-827X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Image and Vision Computing	Elsevier	ScienceDirect	0262-8856		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immunity	Elsevier	ScienceDirect	1074-7613	1097-4180	111	114	118	165	124	141	108	104	95	162	145	43	1430	807	623
Immuno-analyse & Biologie SpÃ©cialisÃ©e	Elsevier	ScienceDirect	0923-2532		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immunobiology	Elsevier	ScienceDirect	0171-2985		18	8	11	15	7	12	14	13	9	23	5	0	135	70	65
Immunochemistry	Elsevier	ScienceDirect	0019-2791		0	1	0	0	0	0	0	0	0	0	1	0	2	0	2
Immunology and Allergy Clinics of North America	Elsevier	ScienceDirect	0889-8561		0	0	0	0	0	0	1	2	0	0	0	5	8	5	3
Immunology Letters	Elsevier	ScienceDirect	0165-2478		20	14	7	3	7	10	6	7	8	6	10	3	101	59	42
Immunology Today	Elsevier	ScienceDirect	0167-5699		8	7	10	9	4	8	6	10	7	14	17	4	104	32	72
ImmunoMethods	Elsevier	ScienceDirect	1058-6687		0	0	0	0	1	0	0	1	0	0	0	0	2	0	2
Immunopharmacology	Elsevier	ScienceDirect	0162-3109		1	1	1	0	2	1	0	2	15	0	2	5	30	17	13
Immunotechnology	Elsevier	ScienceDirect	1380-2933		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IMPACT of Computing in Science and Engineering	Elsevier	ScienceDirect	0899-8248		2	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Indagationes Mathematicae	Elsevier	ScienceDirect	0019-3577		0	0	0	0	0	0	5	0	2	1	1	2	11	3	8
Indagationes Mathematicae (Proceedings)	Elsevier	ScienceDirect	1385-7258		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Industrial Crops and Products	Elsevier	ScienceDirect	0926-6690		0	0	0	0	0	3	0	0	5	3	0	0	11	4	7
Industrial Marketing Management	Elsevier	ScienceDirect	0019-8501		45	12	53	80	113	179	169	32	26	14	53	65	841	399	442
Infant Behavior and Development	Elsevier	ScienceDirect	0163-6383		1	3	0	1	3	5	5	0	0	0	0	0	18	5	13
Infection, Genetics and Evolution	Elsevier	ScienceDirect	1567-1348		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Infectious Diseases Newsletter	Elsevier	ScienceDirect	0278-2316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Information & Management	Elsevier	ScienceDirect	0378-7206		34	10	6	9	22	15	4	4	16	13	15	17	165	65	100
Information and Computation	Elsevier	ScienceDirect	0890-5401	1090-2651	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2
Information and Control	Elsevier	ScienceDirect	0019-9958		0	0	0	0	0	0	1	0	0	0	1	0	2	0	2
Information and Organization	Elsevier	ScienceDirect	1471-7727		0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Information and Software Technology	Elsevier	ScienceDirect	0950-5849		0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Information Economics and Policy	Elsevier	ScienceDirect	0167-6245		0	0	0	0	1	0	0	2	0	0	0	0	3	0	3
Information Processing & Management	Elsevier	ScienceDirect	0306-4573		28	5	22	10	7	3	7	4	3	18	16	1	124	52	72
Information Processing Letters	Elsevier	ScienceDirect	0020-0190		1	0	0	0	0	0	0	0	0	0	1	0	2	0	2
Information Sciences	Elsevier	ScienceDirect	0020-0255		0	2	0	0	0	0	1	0	0	2	8	0	13	1	12
Information Sciences - Applications	Elsevier	ScienceDirect	1069-0115		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Information Storage and Retrieval	Elsevier	ScienceDirect	0020-0271		2	0	0	0	0	0	0	0	0	1	1	0	4	0	4
Information Systems	Elsevier	ScienceDirect	0306-4379		0	1	0	0	0	0	0	1	0	1	0	4	7	2	5
Infrared Physics	Elsevier	ScienceDirect	0020-0891		1	1	0	0	0	0	1	3	1	3	1	5	16	0	16
Infrared Physics & Technology	Elsevier	ScienceDirect	1350-4495		0	2	3	1	0	0	0	0	0	2	0	0	8	5	3
Injury	Elsevier	ScienceDirect	0020-1383	1572-3461	25	19	29	17	38	34	47	35	29	58	61	27	419	217	202
Injury Extra	Elsevier	ScienceDirect	1572-3461		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Innovative Food Science & Emerging Technologies	Elsevier	ScienceDirect	1466-8564		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inorganic and Nuclear Chemistry Letters	Elsevier	ScienceDirect	0020-1650		0	2	2	2	0	0	0	1	0	0	1	0	8	0	8
Inorganic Chemistry Communications	Elsevier	ScienceDirect	1387-7003		26	18	12	8	9	7	6	6	5	13	12	1	123	66	57
Inorganica Chimica Acta	Elsevier	ScienceDirect	0020-1693		29	22	20	22	19	14	18	14	20	22	28	14	242	62	180
Inorganica Chimica Acta Reviews	Elsevier	ScienceDirect	0073-8085		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Insect Biochemistry	Elsevier	ScienceDirect	0020-1790		5	1	0	0	2	0	7	9	1	1	4	0	30	0	30
Insect Biochemistry and Molecular Biology	Elsevier	ScienceDirect	0965-1748		10	0	2	15	7	3	6	1	7	6	2	0	59	38	21
Insurance: Mathematics and Economics	Elsevier	ScienceDirect	0167-6687		6	0	2	0	0	0	1	2	0	17	9	2	39	13	26
Integration, the VLSI Journal	Elsevier	ScienceDirect	0167-9260		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intelligence	Elsevier	ScienceDirect	0160-2896		4	4	3	1	3	3	2	7	22	2	3	0	54	16	38
Intensive and Critical Care Nursing	Elsevier	ScienceDirect	0964-3397		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Interacting with Computers	Elsevier	ScienceDirect	0953-5438		1	0	3	4	2	1	0	0	0	4	0	0	15	6	9
Intermetallics	Elsevier	ScienceDirect	0966-9795		0	3	0	1	0	0	0	2	0	0	1	0	7	4	3
International Biodeterioration	Elsevier	ScienceDirect	0265-3036		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Biodeterioration & Biodegradation	Elsevier	ScienceDirect	0964-8305		0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
International Business Review	Elsevier	ScienceDirect	0969-5931		10	14	39	39	25	17	26	28	13	11	15	12	249	125	124
International Communications in Heat and Mass Transfer	Elsevier	ScienceDirect	0735-1933		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Contact Lens Clinic	Elsevier	ScienceDirect	0892-8967		0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
International Dairy Journal	Elsevier	ScienceDirect	0958-6946		0	0	0	0	0	2	0	0	0	3	11	1	17	8	9
